world_x,world_y,height,monster_type
520.6,463.4,833,M01
802.4,219.4,776,M09
1087.5,246.1,192,M09
736.6,789.1,153,M09
731.8,803.4,118,M01
980.9,913.2,40,M09
977.0,927.0,55,M01
1153.3,732.8,68,M09
1136.2,740.9,65,M01
1395.3,769.3,13,M09
1381.9,753.1,11,M01
1395.3,771.7,13,M01
626.6,533.8,884,M08
1422.7,866.4,45,M08
1429.9,868.8,23,M04
1223.7,895.3,77,M08
1240.4,877.6,42,M04
1151.9,907.0,6,M08
1134.3,920.3,41,M04
1390.5,909.3,15,M08
1381.4,918.9,35,M04
1347.8,73.1,162,M04
1346.4,67.4,112,M01
1366.9,86.0,2025,M01
1039.6,469.9,969,M04
870.6,519.7,212,M04
553.8,587.0,338,M04
544.3,578.9,248,M01
1095.9,629.5,307,M04
1094.0,646.2,217,M01
700.5,630.9,589,M04
702.0,631.9,582,M01
626.1,849.2,92,M04
654.7,880.0,216,M04
597.2,880.5,159,M04
1148.6,882.9,23,M04
1143.3,898.6,24,M04
699.1,935.6,5,M04
698.6,925.6,41,M01
1321.3,858.8,13,M04
1352.1,859.7,23,M04
1363.1,871.6,40,M04
1361.1,848.3,25,M02
1255.5,859.7,108,M04
1264.0,866.9,93,M07
1232.3,860.7,106,M04
1231.8,844.9,65,M01
1287.2,864.5,38,M04
1199.2,875.2,42,M04
1213.9,876.7,19,M04
1340.9,880.5,44,M04
1342.3,902.9,48,M04
1256.4,890.0,128,M04
1274.1,876.2,12,M04
1180.8,891.4,21,M04
1168.4,903.4,47,M04
1384.3,895.7,9,M04
1405.3,902.9,4,M04
1368.8,900.5,14,M04
1367.3,896.2,8,M07
1318.5,911.3,36,M04
1332.8,929.4,46,M04
1281.5,911.7,19,M04
1303.4,923.2,32,M04
1254.5,911.7,59,M04
820.8,913.2,107,M04
846.3,914.6,29,M04
872.5,917.0,40,M04
1157.9,916.0,122,M04
1176.5,906.5,25,M07
804.3,916.5,77,M04
783.3,921.7,152,M04
1309.1,881.4,18,M04
1431.8,892.9,35,M04
1230.9,909.8,40,M04
1197.7,910.8,47,M04
1213.5,919.4,75,M04
1355.4,915.5,14,M04
1350.7,931.8,47,M04
1411.7,917.5,5,M04
638.0,374.0,1719,M07
714.8,548.1,142,M07
615.4,783.4,67,M07
1200.6,47.6,832,M01
1236.6,86.0,1076,M01
1410.3,114.9,593,M01
833.7,121.6,1589,M01
827.5,120.1,1269,M02
1265.0,122.5,1454,M01
1265.5,102.5,1590,M05
869.2,143.7,441,M01
914.5,146.6,988,M01
816.5,156.9,155,M01
1415.1,161.6,1605,M01
618.7,171.2,223,M01
596.8,159.3,51,M01
923.6,173.6,824,M01
958.2,176.0,452,M01
1085.1,181.2,544,M01
558.1,205.3,81,M01
1189.1,214.4,280,M01
1213.0,195.3,828,M01
1139.5,221.3,683,M01
1126.6,231.3,403,M02
1146.7,221.3,671,M06
1328.9,229.9,545,M01
1381.0,253.0,930,M01
1245.7,261.6,661,M01
1219.4,253.0,931,M02
1322.7,266.4,561,M01
588.4,269.7,580,M01
1389.5,295.7,346,M01
1424.6,296.7,32,M01
594.4,309.6,1333,M01
618.7,285.2,402,M01
1380.0,321.7,157,M01
1375.7,336.0,100,M02
1303.9,334.1,321,M01
1426.5,337.5,107,M01
572.2,389.0,700,M01
1307.2,404.3,42,M01
559.5,417.4,1905,M01
463.4,498.0,186,M01
1001.6,626.6,257,M01
443.4,776.4,23,M01
440.0,758.8,79,M01
492.2,805.3,118,M01
599.1,859.7,3,M01
566.9,862.1,62,M01
562.6,856.9,39,M02
887.1,96.8,1781,M01
937.7,120.1,820,M01
959.6,100.1,1149,M03
852.0,162.6,1757,M01
887.1,165.9,1138,M01
844.4,192.4,1558,M01
1017.4,196.7,636,M01
967.7,214.8,56,M01
809.1,214.8,113,M01
1048.1,230.8,424,M01
873.5,233.7,338,M01
847.3,236.1,1191,M01
935.0,236.6,157,M01
928.8,219.4,747,M02
903.3,254.5,499,M01
802.4,263.0,889,M01
808.1,263.5,694,M02
808.6,269.2,448,M03
851.6,268.3,1077,M01
1086.1,270.2,177,M01
973.2,270.2,108,M01
922.6,270.7,336,M01
918.4,274.0,333,M02
791.9,284.8,1133,M01
748.5,287.6,1096,M01
1117.3,291.4,488,M01
938.6,292.4,297,M01
962.5,294.3,77,M02
826.5,297.6,943,M01
830.3,302.9,692,M05
1178.4,298.1,454,M01
880.9,299.5,735,M01
1204.4,303.4,403,M01
972.8,303.4,102,M01
991.8,308.1,39,M01
917.4,311.5,79,M01
1128.1,317.0,772,M01
1150.0,320.3,621,M01
1140.0,338.4,114,M01
1089.4,318.4,423,M01
1085.6,337.9,157,M01
1248.5,323.2,489,M01
1220.9,320.3,889,M02
1226.1,314.1,943,M06
808.6,333.2,427,M01
1042.9,342.2,156,M01
1062.7,344.9,849,M01
1079.4,367.8,365,M02
983.2,346.8,111,M01
1219.9,352.5,860,M01
1186.5,356.8,427,M01
1163.1,373.5,296,M01
761.1,365.9,849,M01
822.2,375.7,1147,M01
982.8,380.4,28,M01
1121.6,380.9,5,M01
1117.3,380.4,2,M02
1144.8,382.8,300,M01
686.5,382.8,1904,M01
1009.3,390.9,170,M01
1236.1,394.3,374,M01
1176.5,395.2,394,M01
771.6,396.2,490,M01
1276.4,397.6,177,M01
747.5,400.9,201,M01
644.2,406.4,519,M01
654.2,435.0,388,M01
1037.6,413.1,627,M01
1206.8,419.3,461,M01
781.9,421.7,894,M01
684.1,423.1,345,M01
669.8,418.4,477,M02
618.2,425.0,1276,M01
1149.5,432.2,222,M01
1384.8,436.5,15,M01
1378.6,406.9,305,M01
719.9,442.9,1515,M01
821.3,443.4,651,M01
1184.1,445.3,530,M01
619.2,445.8,935,M01
1129.5,448.7,902,M01
801.9,449.1,522,M01
543.8,449.6,465,M01
984.7,451.5,640,M01
580.3,457.2,534,M01
1332.8,462.0,34,M01
1289.1,462.5,43,M01
1019.7,467.7,33,M01
712.0,470.4,878,M01
642.3,475.1,494,M01
594.4,480.9,28,M01
1321.3,482.8,15,M01
665.0,483.2,505,M01
853.9,484.7,458,M01
1152.4,486.6,241,M01
540.5,487.1,405,M01
1065.1,488.5,461,M01
1210.1,500.2,8,M01
836.5,503.5,537,M01
881.4,506.4,573,M01
887.6,507.3,529,M02
806.2,506.4,465,M01
789.1,525.9,296,M01
1260.7,515.9,5,M01
439.5,525.5,211,M01
704.8,525.9,482,M01
715.3,511.2,647,M02
999.0,528.3,27,M01
1150.0,531.4,181,M01
1087.0,536.2,371,M01
812.7,536.7,692,M01
832.2,557.2,161,M01
927.9,545.3,379,M01
934.6,546.2,272,M03
681.2,545.3,28,M01
559.0,545.3,1038,M01
580.3,554.3,974,M01
578.9,531.9,1587,M02
979.9,556.7,70,M01
619.2,557.2,254,M01
615.8,531.4,576,M02
617.3,539.6,545,M03
617.7,531.4,573,M06
890.9,558.2,37,M01
883.8,541.0,137,M02
900.9,531.4,269,M05
645.7,562.7,634,M01
636.6,585.1,323,M01
865.4,563.7,356,M01
846.8,582.2,466,M06
937.7,565.6,555,M01
954.4,580.8,230,M02
445.3,566.0,404,M01
585.5,582.2,967,M01
611.5,588.9,211,M01
464.3,594.9,301,M01
449.6,595.4,166,M02
440.5,597.8,47,M03
527.3,599.2,1477,M01
504.4,599.7,852,M01
1003.5,601.6,446,M01
1020.2,612.5,181,M01
1087.0,602.1,94,M01
1050.0,611.1,234,M01
1120.2,612.1,50,M01
1101.1,622.6,231,M01
1192.0,615.9,10,M01
609.2,622.1,386,M01
639.0,628.5,209,M01
632.3,641.9,184,M01
632.3,631.4,190,M02
988.5,636.7,104,M01
970.8,648.1,240,M01
534.3,637.6,497,M01
592.7,650.0,730,M01
501.6,687.7,8,M01
529.7,696.8,600,M01
765.9,714.4,129,M01
759.7,734.7,108,M01
492.2,754.5,35,M01
469.4,776.4,17,M02
712.5,757.8,250,M01
697.7,757.4,212,M01
545.2,758.3,90,M01
537.1,769.3,99,M03
665.0,779.3,85,M01
686.5,779.8,2,M01
757.8,805.8,96,M01
941.0,806.3,341,M01
678.8,814.6,285,M01
565.0,816.5,401,M01
850.6,818.0,102,M01
855.9,840.9,28,M01
788.6,822.3,51,M01
467.7,822.3,347,M01
510.6,827.0,87,M01
751.1,831.3,43,M01
779.7,837.0,42,M02
974.7,833.2,9,M01
970.4,826.1,5,M05
484.6,838.0,93,M01
830.8,839.0,60,M01
598.7,842.3,68,M01
619.2,842.8,30,M01
601.1,824.6,457,M03
927.9,854.9,28,M01
911.2,866.4,71,M01
910.2,848.7,87,M03
538.5,855.4,12,M01
537.1,872.6,14,M02
687.7,858.3,54,M01
706.7,849.2,196,M02
805.3,864.5,109,M01
868.7,865.0,86,M01
756.4,868.8,34,M01
923.1,886.7,178,M01
971.3,888.1,158,M01
510.2,888.6,168,M01
894.7,897.2,97,M01
845.8,899.6,27,M01
680.3,904.3,53,M01
779.3,909.3,122,M01
780.2,911.7,97,M03
566.0,918.4,138,M01
946.8,935.1,31,M01
594.4,935.1,10,M01
623.9,913.2,48,M03
859.2,5.4,1851,M01
864.9,28.8,753,M01
860.6,27.8,854,M03
1419.4,8.2,144,M01
1435.6,1.6,69,M05
913.1,8.7,1462,M01
1122.6,13.5,653,M01
1091.8,14.9,902,M01
1079.4,28.3,248,M01
1076.5,4.9,1271,M03
1284.3,15.4,1931,M01
1311.5,7.8,115,M02
945.3,15.4,1341,M01
951.5,18.7,962,M03
1366.4,23.0,32,M01
1331.8,26.8,394,M01
1147.1,27.8,518,M01
1132.4,14.9,780,M03
1057.2,32.3,1980,M01
1054.3,34.3,1810,M03
900.0,32.3,1574,M01
882.3,45.7,889,M01
885.7,48.6,740,M03
1380.0,39.0,276,M01
1394.3,57.6,47,M01
1351.1,42.4,369,M01
1165.0,43.3,656,M01
1176.5,60.0,75,M01
1332.8,50.5,1810,M01
966.8,58.6,153,M01
995.6,67.9,1027,M01
980.4,68.4,1146,M03
913.6,68.4,1858,M01
1037.6,75.5,812,M01
1436.1,76.5,460,M01
1141.4,76.9,872,M01
1154.8,80.8,747,M03
871.1,78.4,420,M01
848.2,88.9,912,M01
1079.9,80.8,902,M01
1113.0,83.2,969,M01
1094.9,91.7,51,M03
1314.6,85.5,207,M01
1180.8,89.4,184,M01
1179.3,92.7,96,M05
1385.2,95.8,944,M01
1026.4,104.9,1048,M01
1062.7,106.8,651,M01
1192.5,113.5,597,M01
1196.8,100.1,1196,M03
987.1,123.5,29,M01
1122.6,125.2,1835,M01
1094.9,130.9,874,M01
1067.9,125.2,1182,M01
1065.1,144.2,418,M01
1083.2,131.8,1270,M03
1214.4,127.1,1155,M01
1201.5,143.7,552,M01
1248.1,128.5,1111,M01
1037.2,131.8,937,M01
1157.4,132.3,1500,M01
1178.9,133.7,1087,M01
682.2,141.4,1434,M01
673.1,144.7,1015,M02
796.7,141.8,1335,M01
787.6,129.4,502,M03
810.5,146.1,419,M05
1262.6,143.3,550,M01
645.7,146.1,687,M01
632.3,153.8,197,M01
767.3,160.2,1293,M01
1174.6,162.1,1243,M01
645.7,168.3,662,M01
626.1,171.2,24,M03
1146.2,177.9,439,M01
1115.9,178.8,422,M01
1111.1,170.7,762,M03
1278.8,180.7,320,M01
1189.6,186.0,248,M01
1191.5,179.3,505,M03
1269.8,198.2,535,M01
665.5,205.3,569,M01
1292.9,226.1,748,M01
1217.8,226.5,88,M01
628.0,232.3,210,M01
651.9,249.0,1577,M01
1261.2,237.5,239,M01
493.7,347.3,272,M01
480.8,373.0,116,M01
491.8,343.9,270,M03
447.6,349.6,404,M01
1365.0,353.5,660,M01
1355.4,348.7,864,M03
1356.4,378.0,927,M01
794.8,388.1,813,M01
799.1,404.7,235,M02
452.4,390.4,45,M01
459.1,396.6,30,M03
520.6,390.9,534,M01
501.1,400.0,291,M01
481.3,395.2,176,M01
498.0,387.6,486,M03
498.0,401.9,727,M05
1417.5,400.9,160,M01
440.5,416.9,170,M01
466.7,436.5,1250,M01
449.1,429.3,542,M02
756.4,419.8,1099,M01
759.7,465.3,673,M01
773.1,438.6,779,M02
447.2,466.3,764,M01
1348.3,481.8,10,M01
745.6,505.4,952,M01
745.1,546.7,391,M01
720.8,554.8,956,M01
737.0,552.4,552,M02
779.3,552.9,24,M01
740.8,579.4,383,M01
801.0,586.1,229,M01
789.5,576.5,351,M05
714.4,604.4,150,M01
667.4,612.5,563,M01
675.0,604.4,252,M02
759.2,617.3,309,M01
764.0,601.6,441,M02
731.8,620.7,416,M01
1075.6,635.7,119,M01
1152.9,644.3,41,M01
740.4,644.8,305,M01
670.2,649.1,457,M01
1130.5,659.3,37,M01
1136.2,682.7,58,M01
1140.9,668.4,16,M03
1068.4,660.3,123,M01
1085.6,677.0,22,M01
1227.6,663.6,5,M01
1234.2,671.2,5,M02
749.0,666.0,220,M01
730.8,664.6,239,M02
976.1,672.2,226,M01
975.6,676.5,200,M03
698.2,674.1,374,M01
1038.6,686.0,50,M01
593.9,691.5,995,M01
1268.8,697.2,5,M01
975.6,703.9,107,M01
684.1,705.8,16,M01
589.4,715.4,75,M01
979.0,728.5,96,M01
986.1,739.9,113,M02
1000.2,747.1,158,M01
1008.8,719.4,24,M01
983.2,759.3,108,M01
649.9,763.6,101,M01
625.2,763.6,128,M01
1036.7,825.6,266,M01
1058.6,835.1,22,M03
438.6,854.9,3,M01
1039.6,855.9,86,M01
1053.4,869.2,33,M03
1019.7,871.2,58,M01
1000.2,846.4,168,M02
1024.5,901.9,32,M01
500.6,907.9,77,M01
472.7,929.9,33,M01
581.7,144.7,239,M01
564.1,147.6,341,M01
574.6,140.4,175,M03
605.3,145.2,197,M01
611.5,150.9,299,M02
619.2,150.4,443,M05
562.6,183.1,486,M01
626.6,197.2,50,M01
646.6,212.0,674,M03
1172.7,649.1,71,M01
1213.9,671.7,20,M01
1193.9,661.2,18,M05
1184.1,671.7,67,M01
1159.3,666.9,20,M06
1123.5,691.5,10,M01
1095.9,717.7,118,M01
1175.5,699.2,20,M01
1159.3,716.8,69,M01
1023.1,707.7,56,M01
1248.5,708.2,5,M01
1233.8,710.1,6,M01
1208.2,712.0,24,M01
1069.4,712.0,98,M01
1125.2,715.8,140,M01
1035.3,719.9,69,M01
1053.4,736.1,105,M03
1219.9,735.2,26,M01
1235.7,739.9,17,M01
1191.5,736.6,83,M01
1101.6,736.6,89,M01
1122.6,725.6,5,M02
1324.2,740.9,15,M01
1289.1,742.3,5,M01
1353.0,744.7,1,M01
1214.9,750.7,56,M01
1189.6,753.6,143,M01
1216.8,763.1,49,M02
1303.4,751.6,36,M01
1408.4,752.6,5,M01
1436.1,780.3,3,M01
1259.3,752.6,63,M01
1271.2,767.9,51,M02
1265.0,769.8,43,M03
1049.1,757.8,52,M01
1122.1,759.8,5,M01
1108.7,772.2,97,M01
1117.8,775.5,48,M03
1014.0,763.6,203,M01
1333.2,764.0,17,M01
1337.0,776.9,15,M02
1165.0,765.5,45,M01
1347.3,774.5,1,M01
1128.5,777.4,10,M01
1374.0,781.5,21,M01
1354.9,800.6,17,M01
1157.4,784.8,29,M01
1313.7,785.8,20,M01
1395.7,791.0,16,M01
1380.0,802.5,6,M01
1276.9,791.5,34,M01
1115.9,793.4,33,M01
1108.3,806.3,111,M01
1244.7,793.9,8,M01
1227.1,807.2,61,M01
1293.9,796.3,26,M01
1309.1,808.2,21,M01
1300.5,804.8,24,M02
1065.6,803.9,132,M01
1209.2,809.1,105,M01
1129.5,809.6,127,M01
1048.1,810.1,224,M01
1053.4,799.1,143,M02
1165.5,813.2,52,M01
1178.4,830.8,76,M01
1189.1,813.7,89,M01
1198.2,828.9,134,M01
1367.3,814.6,24,M01
1354.0,835.1,5,M01
1324.6,816.5,9,M01
1408.9,817.5,13,M01
1427.9,842.3,34,M01
1088.9,820.4,35,M01
1088.9,838.5,53,M01
1257.4,820.8,53,M01
1150.0,823.7,59,M01
1105.4,824.6,140,M01
1384.3,837.0,26,M01
1302.0,839.9,12,M01
1307.7,841.3,11,M02
1190.6,844.9,76,M01
1199.2,873.1,93,M01
1215.4,847.8,15,M02
1214.4,844.9,12,M03
1069.4,844.9,47,M01
1105.4,853.0,23,M01
1097.3,868.8,24,M01
1144.8,854.0,47,M01
1183.2,868.3,47,M01
1166.0,868.3,79,M01
1178.4,847.8,16,M03
1054.3,877.1,32,M01
1076.5,885.2,85,M01
1051.5,909.8,11,M01
1105.4,912.7,59,M01
1100.6,929.9,73,M01
1088.4,919.4,70,M01
1085.1,924.1,75,M03
1166.0,14.4,318,M02
985.6,144.2,338,M02
1434.1,353.0,522,M02
1406.5,354.9,710,M03
824.6,235.1,1052,M02
1011.6,267.3,125,M02
1000.2,279.3,154,M03
976.6,327.0,90,M02
991.4,342.2,16,M03
716.7,357.3,1739,M02
1277.4,409.8,359,M02
1062.7,412.6,855,M02
647.6,442.9,1037,M02
635.2,442.5,886,M03
1264.0,474.7,14,M02
1279.3,486.1,15,M03
987.1,493.3,306,M02
1092.3,513.1,101,M02
1086.5,511.6,182,M03
505.4,541.0,155,M02
1015.9,569.9,474,M02
1128.5,574.6,168,M02
509.2,781.5,176,M02
491.3,867.3,245,M02
948.7,891.9,126,M02
961.5,891.0,101,M06
715.8,409.8,935,M02
833.2,566.0,68,M02
687.7,568.4,1486,M02
717.7,568.9,808,M03
597.2,683.6,200,M02
551.9,713.5,420,M02
662.1,735.2,48,M02
611.5,233.7,123,M02
557.1,331.3,1963,M02
439.1,339.4,14,M02
1391.4,379.0,698,M02
1384.3,378.5,577,M03
873.5,113.5,520,M03
991.4,185.0,40,M03
1298.6,259.2,1055,M03
1230.9,304.8,386,M03
1108.7,337.9,182,M03
1183.6,423.1,243,M03
933.1,481.8,421,M03
516.4,509.7,791,M03
1181.7,546.7,14,M03
974.2,589.4,88,M03
466.2,810.1,117,M03
1012.1,837.0,58,M03
824.6,859.2,143,M03
561.4,908.9,327,M03
733.7,351.6,1681,M03
793.3,490.4,500,M03
825.5,602.1,290,M03
754.9,658.4,452,M03
663.1,662.7,1430,M03
578.4,683.2,425,M03
545.2,733.8,295,M03
1084.2,50.5,870,M03
1015.0,52.8,557,M03
1311.0,80.3,325,M03
1229.5,103.9,760,M03
927.4,104.4,1184,M03
1009.3,133.3,777,M03
719.9,142.8,751,M03
1232.8,176.4,487,M03
680.7,176.9,1535,M03
1288.6,196.2,293,M03
1241.9,205.3,354,M03
1263.6,253.0,1032,M03
1424.1,419.8,86,M03
1113.0,893.8,32,M03
960.6,140.9,564,M05
1243.8,247.0,149,M05
619.7,335.1,1422,M05
1365.4,439.6,1,M05
1053.4,569.9,532,M05
1028.8,220.8,366,M06
817.9,260.2,1449,M06
701.0,799.6,4,M06
524.5,367.3,244,M06
1012.6,88.9,256,M06
1772.2,40.9,361,M09
1761.7,51.9,164,M01
1488.1,98.7,519,M09
2064.7,761.7,132,M09
1986.2,202.4,370,M09
1983.8,204.4,441,M01
1979.5,209.6,512,M02
1837.1,414.5,38,M09
1822.8,409.8,43,M01
1820.4,417.9,40,M03
1644.3,605.9,10,M09
1653.9,615.9,2,M01
2306.4,853.5,141,M09
2294.4,859.2,85,M01
2284.0,865.0,64,M03
1814.2,711.6,7,M09
1823.7,700.1,30,M01
1842.8,708.2,84,M01
1517.4,356.8,443,M08
2290.6,770.2,163,M08
2299.7,758.8,74,M01
1464.4,4.9,94,M04
1933.2,11.1,850,M04
1806.8,32.3,320,M04
1803.5,37.6,334,M01
2002.7,100.1,129,M04
2015.1,105.8,128,M02
1481.9,156.9,1080,M04
2159.9,185.5,48,M04
2184.7,185.0,8,M01
2176.6,164.5,113,M03
1908.9,212.0,24,M04
1675.1,247.5,10,M04
1680.8,242.8,15,M02
2136.3,264.5,29,M04
2139.6,264.0,26,M01
2067.6,328.9,17,M04
2066.6,340.8,14,M01
2226.2,346.3,137,M04
2240.1,370.2,32,M01
2152.0,354.9,25,M04
2138.2,363.5,75,M01
1753.6,609.2,23,M04
1760.3,619.7,16,M01
1792.0,768.3,105,M04
1460.6,794.4,10,M04
1454.9,800.1,8,M02
1645.3,855.4,30,M04
1637.2,854.9,15,M01
1539.1,867.8,46,M04
1553.9,844.5,65,M01
1535.3,852.6,7,M01
1953.1,917.0,101,M04
1452.0,895.7,24,M04
1465.9,900.0,24,M03
1442.0,907.4,17,M04
1454.9,926.0,15,M04
1477.6,920.8,8,M04
1484.3,936.5,15,M04
1481.4,55.7,263,M01
1485.2,40.9,467,M03
1586.1,119.2,30,M01
1595.9,160.2,562,M01
1613.6,165.0,464,M03
1464.0,200.5,194,M01
1614.5,215.8,57,M01
1594.5,202.4,309,M02
1503.6,259.2,53,M01
1628.1,263.0,359,M01
1646.2,275.9,180,M01
1646.2,310.5,291,M01
1480.9,319.3,153,M01
1452.5,334.6,109,M01
1607.8,340.8,52,M01
1561.5,360.6,743,M01
1662.7,365.9,253,M01
1448.7,386.1,458,M01
1474.2,422.2,70,M01
2015.6,929.4,94,M01
2095.5,12.5,276,M01
1894.8,104.4,70,M01
1943.0,120.6,65,M01
1828.5,122.5,170,M01
1814.7,97.7,837,M01
1917.0,129.0,301,M01
1874.1,134.7,20,M01
1955.0,136.6,140,M01
1825.2,151.4,219,M01
1537.2,151.4,876,M01
1845.5,164.5,403,M01
1864.1,180.7,154,M01
1854.5,181.7,260,M02
1547.2,167.4,576,M01
1894.4,174.0,113,M01
1879.6,157.8,233,M03
1525.0,192.4,785,M01
1538.2,206.3,339,M01
1578.0,222.7,207,M01
1568.5,239.4,132,M02
1538.2,236.6,132,M01
1696.8,355.8,492,M01
1527.4,394.3,610,M01
1559.6,431.2,719,M01
1560.1,422.6,795,M02
1589.0,432.7,191,M01
1542.0,437.7,233,M01
1506.9,438.6,199,M01
1514.1,466.3,111,M01
1573.2,471.3,317,M01
1599.7,474.2,429,M01
2086.6,786.2,152,M01
2340.5,810.1,379,M01
2286.8,816.1,54,M01
2301.1,835.1,100,M01
2281.6,821.8,70,M03
2289.2,819.9,70,M05
2087.6,818.0,36,M01
2064.7,830.8,79,M01
2067.1,828.5,74,M03
2179.0,822.3,231,M01
2108.4,832.3,5,M01
1952.6,902.9,85,M01
1964.0,886.7,151,M02
1943.0,875.7,2,M02
1980.0,19.7,417,M01
1972.9,14.0,550,M02
1949.2,25.9,63,M01
2050.2,29.7,99,M01
2048.7,27.8,103,M02
2054.4,13.5,94,M03
1531.5,32.3,1444,M01
1559.6,49.5,455,M01
1538.2,39.0,1149,M02
1632.4,32.8,388,M01
1642.4,32.3,253,M02
1633.8,60.0,99,M02
1907.0,34.7,3,M01
1929.4,40.5,15,M01
1923.7,38.1,14,M02
1746.7,35.2,21,M01
1465.4,35.7,443,M01
1453.0,50.9,406,M03
1859.8,38.1,83,M01
1981.0,41.4,411,M01
1585.2,43.8,635,M01
